"","Mar 2008","Mar 2009","Mar 2010","Mar 2011","Mar 2012","Mar 2013","Mar 2014","Mar 2015","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Sep 2019",
"Share Capital","1,148","1,148","1,148","1,148","1,320","1,320","1,320","1,320","1,320","2,640","2,640","2,640","2,640",
"Reserves","9,249","10,569","12,807","14,093","19,473","22,360","26,202","31,091","34,708","34,205","37,194","44,481","47,989",
"Borrowings","40,648","52,160","67,108","76,275","110,126","139,473","159,215","187,795","200,660","202,993","441,151","539,488","553,850",
"Other Liabilities","3,727","4,437","2,468","13,228","4,780","6,187","7,607","8,718","10,550","19,721","41,546","42,385","43,676",
"Total Liabilities","54,772","68,313","83,532","104,744","135,699","169,339","194,344","228,924","247,239","259,558","522,531","628,994","648,155",
"Fixed Assets","77","75","73","75","77","75","72","102","198","296","161","196","241",
"CWIP","0","0","2","2","0","0","1","2","47","105","129","199","249",
"Investments","66","35","30","27","27","27","27","528","2,230","3,145","5,493","4,604","4,517",
"Other Assets","54,629","68,203","83,427","104,640","135,595","169,238","194,245","228,292","244,764","256,011","516,749","623,996","643,147",
"Total Assets","54,772","68,313","83,532","104,744","135,699","169,339","194,344","228,924","247,239","259,558","522,531","628,994","648,155",
